volledige naam,QID,facebook,linkedin,twitter,gemeente,partij
Adeline Blancquaert,Q64706424,,,A_Blancquaert,,Vlaams-Belang
Adrian De Weerdt,,,,,Edegem,CD&V
Agnes Abts,,,,,Bierbeek,
Agnes Bruyninckx-Vandenhoudt,Q2826924,,,,Brugge,
Ahmet Koç,Q17381366,,,,Limburg,
Ahmet Yildirim,,,,,Zele,
Aïssatou Cissé,,,,,Borgerhout,Vooruit
Alain DE COSTER,,,,,Koksijde,Koksijde Vooruit
Alain Dumont,,,,,Menen,
Alain Top,Q5237918,,,,Harelbeke,sp.a/Groen
Albert Mariën,Q25621658,,,,Boechout,GEMEENTEBELANGEN
Albert Palmers,,,,,Heusden-Zolder,Nieuw HZ
Albert Vandezande,,,,,Oud-Heverlee,FUSIEBELANGEN
Alec Lamberts,,,,,Temse,TESAMEN
Alexander Wouters,,,,,,CD&V
Alfons Christiaensen,,,,,Zoersel,
Alfons Matthys,,,,,Aarschot,CD&V
An Bogaert,,,,,Horebeke,
An Boterman,,,,,Waarschoot,
An Caerts,,,,,Leopoldsburg,CD&V
An Casteleyn,,,,,Oostende,CD&V
An Christiaens,Q17496898,anchristiaenstongeren,,antongeren,Tongeren,CD&V
André Decoster,,,,,Gistel,
Andre Degroote,,,,,Avelgem,CD&V
André De Groote,,,,,Destelbergen,
André Gantman,Q2228351,,,,Antwerpen,N-VA
André Govaerts,,,,,Bekkevoort,Open VLD
André Peeters,Q2675422,,,,Aarschot,CD&V
André Peters,,,,,Wezembeek-Oppem,LB-UNION
André Stevens,,,,,Lochristi,
André Uytterhoeven,,,,,Putte,Open VLD
André Van Den Steen,,,,,Ninove,Open VLD
André Van de Putte,,,,,Kraainem,
An Fremout,,,,,Zomergem,
An Geets,,,,,Oud-Heverlee,Onafhankelijk
An Haesebeyt,,,,,Oosterzele,Open Vld plus
Anita Moens,,,,,Willebroek,Vooruit
An Kortleven,,,,,Lommel,
An Lenaerts,,,,,Balen,CD&V
An Lovato,,,,,Lennik,Groen
Anna Touré,,,,,Antwerpen,Groen
Ann Baptist,,,,,Genk,N-VA
Ann De Martelaer,Q21993861,ann.demartelaer,anndemartelaer,,Vlaams-Brabant,
Ann De Smedt,,,,,Boom,N-VA
Ann De Smet,,,,,Zottegem,CD&V
Anneke Matthys,,,,,Merelbeke,
Anneleen Van Bossuyt,Q18755697,,,anneleen_vb,Gent,N-VA
Annelies Desmet,,,,,Herne,CD&V
Annelies Smets,,,,,,NV-A
Annelies Storms,Q2307059,,,,Gent,Vooruit
