naam,QID,Twitter_username
Petra De Sutter,Q17428148,pdsutter
Ann Heirman,Q21253959,AnnHeirman
Piet Hoebeke,Q27898335,hoebekepiet
Jan Mees,Q87863982,jmeesvliz
Rudy Moenaert,Q55232917,moenaert
Marleen Temmerman,Q340097,MamaDaktari
Ann Van Gysel,Q4766724,AnnVanGysel
Robert Vandenberghe,Q54555003,bergspanning
Sonia Vandepitte,Q55232110,soniavandepitte
Erik Mannens,Q57418730,erikmannens
Dominique Adriaens,Q29651158,dadriaens
Lieven Annemans,Q55076306,LievenAnnemans
Godelieve Laureys,Q55232593,LiefLaureys
Dries Bonte,Q40207597,BonteDries
Wim Ceelen,Q43121460,WimCeelen
Philippe Claeys,Q47756436,ClaeysVub
Joni Dambre,Q40250868,JoniDambre
Hendrik De Bie,Q102399714,DeBie_Hendrik
Koen De Bosschere,Q55233310,kdbosche
Hubert De Brabander,Q114432522,hdbraban
Jan De Maeseneer,Q6148778,JanDeMaeseneer
Ignaas Devisch,Q23660847,idevisch
Carl Devos,Q2618437,devoscarl
Daniele Marinazzo,Q24174820,dan_marinazzo
Gert Peersman,Q22002051,GertPeersman
Philippe F Smet,Q38545452,pfsmet
Wim Van den Broeck,Q56296503,wv012
Peter Van Eenoo,Q14084105,PeterVanEenoo
Jo Vandesompele,Q19856758,jvdesomp
Stijn Vanheule,Q22583059,StijnVanheule
Pieter De Frenne,Q56428185,PieterDeFrenne
Joachim Declerck,Q22672604,joachimdeclerck
Ruben Verborgh,Q30085536,RubenVerborgh
Tine Destrooper,Q96658080,TineDestrooper
Jens Staal,Q37834573,staal1978
Femke Ongenae,Q41595181,fongenae
Pieter Colpaert,Q66736299,pietercolpaert
Julie M. Birkholz,Q107719116,juliebirkholz
Kim Calders,Q57966020,kimcalders
Isabelle De Groote,Q88778669,DeGrooteI
Michal P Heller,Q50879284,GQFI_MPI
Alberto Curto,Q44629114,albertogcurto
